index,IR1,IR2,IR3,LW_speed,RW_speed
366, 60.0,239.0,338.0,16.03,43.97
367, 44.0,83.0,259.0,31.47,28.53
368, 43.0,48.0,266.0,31.17,28.83
369, 43.0,43.0,298.0,30.0,30.0
370, 44.0,42.0,341.0,30.0,30.0
371, 45.0,44.0,264.0,30.0,30.0
372, 45.0,43.0,292.0,30.0,30.0
373, 46.0,44.0,269.0,30.0,30.0
374, 49.0,47.0,132.0,30.0,30.0
375, 49.0,48.0,61.0,23.8,36.2
376, 48.0,49.0,50.0,26.76,33.24
377, 48.0,50.0,48.0,26.53,33.47
378, 51.0,55.0,48.0,26.3,33.7
379, 52.0,51.0,49.0,26.56,33.44
380, 50.0,47.0,52.0,26.0,34.0
381, 47.0,47.0,59.0,25.75,34.25
382, 50.0,47.0,100.0,21.47,38.53
383, 51.0,48.0,171.0,33.09,26.91
384, 50.0,46.0,222.0,30.0,30.0
385, 50.0,45.0,197.0,30.0,30.0
386, 50.0,45.0,233.0,30.0,30.0
387, 51.0,45.0,243.0,30.0,30.0
388, 49.0,44.0,253.0,30.0,30.0
389, 47.0,45.0,222.0,30.0,30.0
390, 48.0,46.0,196.0,30.0,30.0
391, 47.0,45.0,192.0,30.0,30.0
392, 48.0,44.0,183.0,30.0,30.0
393, 49.0,44.0,196.0,30.0,30.0
394, 46.0,44.0,144.0,30.0,30.0
395, 47.0,44.0,152.0,30.0,30.0
396, 47.0,44.0,143.0,30.0,30.0
397, 49.0,43.0,133.0,30.0,30.0
398, 48.0,44.0,122.0,30.0,30.0
399, 47.0,43.0,115.0,30.0,30.0
400, 47.0,43.0,119.0,30.0,30.0
401, 48.0,44.0,101.0,30.0,30.0
402, 47.0,44.0,78.0,21.9,38.1
403, 48.0,45.0,101.0,32.43,27.57
404, 51.0,48.0,160.0,30.0,30.0
405, 47.0,142.0,50.0,15.5,44.5
406, 45.0,242.0,42.0,10.45,49.55
407, 45.0,291.0,42.0,8.37,51.63
408, 46.0,318.0,43.0,7.14,52.86
409, 46.0,133.0,43.0,26.45,33.55
410, 46.0,50.0,45.0,29.0,31.0
411, 47.0,47.0,47.0,26.77,33.23
412, 46.0,48.0,44.0,26.81,33.19
413, 45.0,60.0,43.0,25.58,34.42
414, 46.0,145.0,42.0,17.64,42.36
415, 45.0,232.0,42.0,11.33,48.67
416, 46.0,222.0,42.0,15.07,44.93
417, 47.0,208.0,42.0,16.24,43.76
418, 46.0,89.0,43.0,27.49,32.51
419, 44.0,48.0,43.0,27.88,32.12
420, 45.0,47.0,43.0,26.91,33.09
421, 45.0,50.0,44.0,26.45,33.55
422, 48.0,59.0,43.0,26.07,33.93
423, 47.0,179.0,43.0,14.12,45.88
424, 47.0,213.0,42.0,14.45,45.55
425, 46.0,266.0,42.0,10.04,49.96
426, 46.0,276.0,43.0,10.56,49.44
427, 47.0,253.0,43.0,13.29,46.71
428, 47.0,214.0,44.0,16.37,43.63
429, 49.0,200.0,48.0,16.43,43.57
430, 48.0,365.0,46.0,-0.33,60.33
431, 55.0,353.0,47.0,6.39,53.61
432, 48.0,341.0,50.0,6.05,53.95
433, 49.0,215.0,53.0,18.39,41.61
434, 47.0,107.0,64.0,24.17,35.83
435, 47.0,47.0,93.0,24.42,35.58
436, 57.0,45.0,129.0,32.79,27.21
437, 49.0,45.0,59.0,23.7,36.3
438, 48.0,54.0,49.0,26.39,33.61
439, 48.0,129.0,44.0,19.15,40.85
440, 47.0,295.0,42.0,4.75,55.25
441, 48.0,219.0,41.0,17.5,42.5
442, 46.0,101.0,41.0,26.76,33.24
443, 46.0,48.0,43.0,28.38,31.62
444, 45.0,47.0,43.0,26.85,33.15
445, 47.0,47.0,43.0,27.05,32.95
446, 46.0,53.0,43.0,26.29,33.71
447, 48.0,53.0,42.0,26.8,33.2
448, 49.0,83.0,42.0,23.81,36.19
449, 47.0,138.0,41.0,19.08,40.92
450, 45.0,187.0,40.0,15.76,44.24
451, 46.0,147.0,40.0,21.36,38.64
452, 46.0,54.0,42.0,29.23,30.77
453, 46.0,48.0,43.0,27.0,33.0
454, 46.0,43.0,44.0,26.65,33.35
455, 46.0,42.0,44.0,26.61,33.39
456, 46.0,42.0,44.0,26.64,33.36
457, 44.0,43.0,46.0,26.74,33.26
458, 43.0,43.0,46.0,26.81,33.19
459, 45.0,41.0,46.0,26.38,33.62
460, 45.0,41.0,48.0,26.3,33.7
461, 46.0,41.0,50.0,26.06,33.94
462, 47.0,41.0,57.0,25.35,34.65
463, 46.0,42.0,108.0,31.89,28.11
464, 46.0,42.0,221.0,30.0,30.0
465, 48.0,43.0,229.0,30.0,30.0
466, 48.0,42.0,263.0,30.0,30.0
467, 51.0,43.0,259.0,30.0,30.0
468, 51.0,43.0,313.0,30.0,30.0
469, 49.0,42.0,269.0,30.0,30.0
470, 46.0,42.0,279.0,30.0,30.0
471, 49.0,42.0,253.0,30.0,30.0
472, 53.0,43.0,262.0,30.0,30.0
473, 72.0,45.0,294.0,30.0,30.0
474, 53.0,44.0,283.0,30.0,30.0
475, 59.0,44.0,240.0,30.0,30.0
476, 117.0,43.0,195.0,37.4,22.6
477, 114.0,43.0,186.0,34.88,25.12
478, 84.0,44.0,170.0,31.87,28.13
479, 78.0,43.0,174.0,32.3,27.7
480, 95.0,43.0,169.0,34.15,25.85
481, 80.0,42.0,129.0,32.24,27.76
482, 55.0,42.0,207.0,28.86,31.14
483, 55.0,42.0,147.0,30.0,30.0
484, 78.0,41.0,111.0,33.7,26.3
485, 122.0,40.0,57.0,42.79,17.21
486, 190.0,41.0,51.0,45.83,14.17
487, 58.0,41.0,73.0,33.0,27.0
