index,IR1,IR2,IR3,LW_speed,RW_speed
0, 47.0,43.0,41.0,34.5,25.5
1, 47.0,43.0,41.0,33.15,26.85
2, 48.0,43.0,41.0,33.25,26.75
3, 47.0,43.0,41.0,33.12,26.88
4, 47.0,44.0,41.0,33.05,26.95
5, 47.0,43.0,42.0,33.28,26.72
6, 46.0,43.0,42.0,33.12,26.88
7, 47.0,42.0,42.0,33.35,26.65
8, 47.0,43.0,42.0,33.19,26.81
9, 47.0,44.0,43.0,33.22,26.78
10, 51.0,44.0,43.0,33.62,26.38
11, 49.0,44.0,42.0,33.2,26.8
12, 50.0,44.0,42.0,33.39,26.61
13, 48.0,44.0,42.0,33.16,26.84
14, 48.0,44.0,42.0,33.22,26.78
15, 47.0,45.0,42.0,33.02,26.98
16, 48.0,44.0,42.0,33.28,26.72
17, 47.0,43.0,41.0,33.12,26.88
18, 47.0,42.0,41.0,33.25,26.75
19, 44.0,40.0,39.0,32.92,27.08
20, 47.0,41.0,41.0,33.41,26.59
21, 40.0,37.0,37.0,32.59,27.41
22, 33.0,32.0,32.0,32.1,27.9
23, 29.0,29.0,29.0,29.01,30.99
24, 29.0,28.0,27.0,30.0,30.0
25, 38.0,28.0,29.0,33.9,26.1
26, 37.0,31.0,34.0,32.83,27.17
27, 39.0,36.0,292.0,28.8,31.2
28, 53.0,42.0,300.0,30.0,30.0
29, 59.0,44.0,309.0,30.0,30.0
30, 51.0,44.0,289.0,30.0,30.0
31, 48.0,44.0,212.0,30.0,30.0
32, 46.0,43.0,53.0,35.6,24.4
33, 43.0,43.0,44.0,32.72,27.28
34, 43.0,52.0,40.0,33.58,26.42
35, 45.0,178.0,40.0,11.23,48.77
36, 46.0,220.0,41.0,13.69,46.31
37, 46.0,217.0,42.0,15.15,44.85
38, 46.0,337.0,41.0,3.19,56.81
39, 46.0,52.0,41.0,35.26,24.74
40, 44.0,44.0,44.0,27.01,32.99
41, 44.0,44.0,45.0,26.82,33.18
42, 45.0,45.0,46.0,26.75,33.25
43, 45.0,45.0,46.0,26.78,33.22
44, 46.0,44.0,46.0,26.58,33.42
45, 46.0,44.0,47.0,26.54,33.46
46, 46.0,45.0,48.0,26.57,33.43
47, 45.0,44.0,49.0,26.47,33.53
48, 46.0,43.0,50.0,26.2,33.8
49, 47.0,43.0,52.0,25.99,34.01
50, 47.0,43.0,52.0,26.08,33.92
51, 47.0,43.0,59.0,25.38,34.62
52, 45.0,42.0,127.0,31.89,28.11
53, 46.0,42.0,95.0,20.1,39.9
54, 46.0,43.0,112.0,32.97,27.03
55, 47.0,44.0,126.0,30.0,30.0
56, 48.0,46.0,226.0,30.0,30.0
57, 46.0,125.0,54.0,16.7,43.3
58, 45.0,250.0,43.0,9.19,50.81
59, 46.0,354.0,42.0,2.44,57.56
60, 46.0,305.0,42.0,10.4,49.6
61, 45.0,203.0,43.0,18.93,41.07
62, 46.0,195.0,43.0,16.83,43.17
63, 45.0,55.0,45.0,30.26,29.74
64, 45.0,46.0,44.0,27.15,32.85
65, 45.0,57.0,42.0,25.95,34.05
66, 46.0,158.0,42.0,16.22,43.78
67, 45.0,240.0,42.0,10.92,49.08
68, 45.0,243.0,41.0,13.21,46.79
69, 48.0,208.0,42.0,16.97,43.03
70, 45.0,71.0,43.0,29.16,30.84
71, 45.0,48.0,42.0,27.57,32.43
72, 44.0,49.0,43.0,26.55,33.45
73, 45.0,53.0,42.0,26.44,33.56
74, 46.0,73.0,42.0,24.6,35.4
75, 46.0,171.0,41.0,15.47,44.53
76, 45.0,204.0,41.0,14.98,45.02
77, 45.0,269.0,41.0,9.5,50.5
78, 45.0,282.0,42.0,10.05,49.95
79, 46.0,291.0,42.0,9.67,50.33
80, 45.0,292.0,42.0,9.71,50.29
81, 45.0,285.0,42.0,10.47,49.53
82, 46.0,255.0,42.0,13.36,46.64
83, 46.0,290.0,42.0,8.93,51.07
84, 45.0,463.0,42.0,-7.42,67.42
85, 48.0,344.0,43.0,9.9,50.1
86, 48.0,297.0,42.0,11.07,48.93
87, 45.0,44.0,41.0,34.53,25.47
88, 44.0,41.0,41.0,26.86,33.14
89, 46.0,40.0,40.0,26.72,33.28
90, 45.0,41.0,40.0,26.98,33.02
91, 47.0,41.0,42.0,26.52,33.48
92, 47.0,42.0,41.0,26.84,33.16
93, 47.0,42.0,41.0,26.78,33.22
94, 46.0,43.0,42.0,26.88,33.12
95, 46.0,43.0,41.0,26.95,33.05
96, 48.0,44.0,42.0,26.72,33.28
97, 48.0,45.0,43.0,26.78,33.22
98, 46.0,43.0,42.0,26.88,33.12
99, 48.0,43.0,43.0,26.55,33.45
100, 46.0,42.0,42.0,26.84,33.16
101, 46.0,42.0,42.0,26.78,33.22
102, 46.0,42.0,42.0,26.78,33.22
103, 48.0,43.0,43.0,26.58,33.42
104, 49.0,43.0,43.0,26.54,33.46
105, 48.0,43.0,43.0,26.67,33.33
106, 50.0,43.0,43.0,26.44,33.56
107, 52.0,44.0,43.0,26.4,33.6
108, 53.0,44.0,44.0,26.23,33.77
109, 54.0,44.0,44.0,26.19,33.81
110, 50.0,44.0,43.0,26.72,33.28
111, 48.0,45.0,44.0,26.77,33.23
112, 48.0,43.0,43.0,26.61,33.39
113, 48.0,44.0,43.0,26.74,33.26
114, 47.0,44.0,42.0,26.91,33.09
115, 47.0,44.0,43.0,26.75,33.25
116, 47.0,286.0,42.0,3.28,56.72
117, 47.0,153.0,49.0,22.93,37.07
118, 287.0,45.0,241.0,58.85,1.15
119, 97.0,44.0,43.0,32.34,27.66
120, 50.0,45.0,43.0,31.92,28.08
121, 48.0,46.0,44.0,33.16,26.84
122, 48.0,46.0,43.0,33.12,26.88
123, 48.0,45.0,43.0,33.25,26.75
124, 51.0,44.0,43.0,33.62,26.38
125, 445.0,44.0,48.0,73.4,-13.4
126, 49.0,132.0,103.0,8.23,51.77
127, 46.0,135.0,42.0,19.39,40.61
128, 49.0,44.0,42.0,29.23,30.77
129, 51.0,45.0,44.0,26.41,33.59
130, 53.0,45.0,45.0,26.2,33.8
131, 48.0,43.0,43.0,26.79,33.21
132, 48.0,43.0,42.0,26.74,33.26
133, 48.0,43.0,42.0,26.71,33.29
134, 51.0,44.0,43.0,26.41,33.59
135, 53.0,44.0,43.0,26.3,33.7
136, 51.0,44.0,43.0,26.56,33.44
137, 51.0,44.0,43.0,26.5,33.5
138, 51.0,44.0,43.0,26.5,33.5
139, 52.0,44.0,43.0,26.4,33.6
140, 51.0,44.0,43.0,26.53,33.47
