index,IR1,IR2,IR3,LW_speed,RW_speed
0, 45.0,41.0,42.0,34.6,25.4
1, 45.0,41.0,42.0,33.22,26.78
2, 45.0,41.0,42.0,33.22,26.78
3, 46.0,41.0,42.0,33.32,26.68
4, 46.0,42.0,42.0,33.19,26.81
5, 45.0,41.0,42.0,33.22,26.78
6, 46.0,42.0,41.0,33.12,26.88
7, 46.0,42.0,41.0,33.15,26.85
8, 45.0,42.0,41.0,33.05,26.95
9, 46.0,43.0,41.0,33.08,26.92
10, 47.0,43.0,41.0,33.18,26.82
11, 47.0,43.0,42.0,33.25,26.75
12, 48.0,43.0,41.0,33.22,26.78
13, 46.0,43.0,42.0,33.12,26.88
14, 45.0,44.0,41.0,32.85,27.15
15, 45.0,42.0,41.0,33.14,26.86
16, 45.0,42.0,40.0,32.98,27.02
17, 46.0,43.0,41.0,33.11,26.89
18, 45.0,43.0,42.0,33.08,26.92
19, 45.0,42.0,41.0,33.08,26.92
20, 46.0,43.0,41.0,33.08,26.92
21, 45.0,43.0,41.0,32.98,27.02
22, 46.0,43.0,42.0,33.21,26.79
23, 45.0,42.0,41.0,33.05,26.95
24, 45.0,42.0,41.0,33.08,26.92
25, 46.0,41.0,41.0,33.28,26.72
26, 46.0,41.0,41.0,33.22,26.78
27, 45.0,41.0,42.0,33.22,26.78
28, 45.0,42.0,42.0,33.12,26.88
29, 46.0,43.0,42.0,33.15,26.85
30, 47.0,42.0,41.0,33.25,26.75
31, 47.0,43.0,41.0,33.12,26.88
32, 47.0,42.0,41.0,33.25,26.75
33, 48.0,42.0,41.0,33.32,26.68
34, 47.0,43.0,42.0,33.19,26.81
35, 46.0,42.0,42.0,33.22,26.78
36, 47.0,42.0,42.0,33.32,26.68
37, 46.0,42.0,41.0,33.09,26.91
38, 46.0,42.0,42.0,33.25,26.75
39, 47.0,43.0,42.0,33.22,26.78
40, 48.0,44.0,42.0,33.22,26.78
41, 47.0,43.0,42.0,33.22,26.78
42, 47.0,44.0,42.0,33.12,26.88
43, 47.0,44.0,42.0,33.15,26.85
44, 47.0,44.0,43.0,33.25,26.75
45, 49.0,44.0,43.0,33.42,26.58
46, 49.0,46.0,43.0,33.16,26.84
47, 50.0,45.0,42.0,33.32,26.68
48, 49.0,45.0,42.0,33.19,26.81
49, 50.0,46.0,43.0,33.32,26.68
50, 51.0,46.0,44.0,33.49,26.51
51, 47.0,44.0,44.0,33.23,26.77
52, 46.0,43.0,43.0,33.19,26.81
53, 45.0,41.0,41.0,33.12,26.88
54, 39.0,37.0,37.0,32.55,27.45
55, 36.0,35.0,34.0,32.33,27.67
56, 34.0,33.0,33.0,32.35,27.65
57, 32.0,31.0,32.0,32.28,27.72
58, 32.0,41.0,31.0,33.01,26.99
59, 33.0,44.0,33.0,33.2,26.8
60, 33.0,39.0,34.0,32.68,27.32
61, 35.0,34.0,44.0,33.3,26.7
62, 36.0,39.0,47.0,33.65,26.35
63, 37.0,39.0,82.0,36.9,23.1
64, 38.0,37.0,36.0,31.18,28.82
65, 38.0,37.0,36.0,32.59,27.41
66, 39.0,37.0,37.0,32.79,27.21
67, 42.0,38.0,38.0,33.03,26.97
68, 44.0,41.0,41.0,33.14,26.86
69, 46.0,53.0,45.0,33.88,26.12
70, 49.0,200.0,244.0,13.34,46.66
71, 50.0,305.0,294.0,9.03,50.97
72, 48.0,131.0,276.0,29.35,30.65
73, 49.0,44.0,272.0,32.49,27.51
74, 49.0,41.0,251.0,30.0,30.0
75, 49.0,42.0,247.0,30.0,30.0
76, 49.0,42.0,265.0,30.0,30.0
77, 48.0,42.0,278.0,30.0,30.0
78, 48.0,42.0,282.0,30.0,30.0
79, 48.0,42.0,306.0,30.0,30.0
80, 46.0,42.0,285.0,30.0,30.0
81, 46.0,43.0,260.0,30.0,30.0
82, 47.0,44.0,258.0,30.0,30.0
83, 48.0,44.0,256.0,30.0,30.0
84, 47.0,44.0,226.0,30.0,30.0
85, 48.0,43.0,193.0,30.0,30.0
86, 47.0,43.0,194.0,30.0,30.0
87, 48.0,44.0,188.0,30.0,30.0
88, 48.0,45.0,149.0,30.0,30.0
89, 47.0,45.0,147.0,30.0,30.0
90, 47.0,46.0,97.0,20.2,39.8
91, 47.0,45.0,75.0,25.24,34.76
92, 46.0,43.0,79.0,24.11,35.89
93, 46.0,43.0,90.0,23.16,36.84
94, 46.0,43.0,156.0,32.79,27.21
95, 46.0,44.0,224.0,30.0,30.0
96, 47.0,43.0,259.0,30.0,30.0
97, 47.0,42.0,240.0,30.0,30.0
98, 46.0,43.0,222.0,30.0,30.0
99, 46.0,42.0,229.0,30.0,30.0
100, 48.0,42.0,219.0,30.0,30.0
101, 46.0,42.0,209.0,30.0,30.0
102, 47.0,43.0,123.0,30.0,30.0
103, 47.0,45.0,202.0,30.0,30.0
104, 45.0,134.0,50.0,16.1,43.9
105, 45.0,309.0,42.0,3.57,56.43
106, 46.0,301.0,41.0,9.58,50.42
107, 45.0,288.0,41.0,10.48,49.52
108, 45.0,263.0,41.0,12.62,47.38
109, 44.0,357.0,39.0,2.57,57.43
110, 44.0,256.0,41.0,15.26,44.74
111, 44.0,103.0,42.0,27.49,32.51
112, 45.0,47.0,44.0,28.43,31.57
113, 45.0,46.0,44.0,26.88,33.12
114, 44.0,81.0,41.0,23.55,36.45
115, 44.0,155.0,41.0,17.14,42.86
116, 44.0,195.0,40.0,15.46,44.54
117, 45.0,230.0,40.0,13.23,46.77
118, 43.0,266.0,40.0,10.45,49.55
119, 44.0,209.0,40.0,17.39,42.61
120, 44.0,112.0,41.0,25.25,34.75
121, 45.0,77.0,41.0,25.97,34.03
122, 46.0,104.0,41.0,22.29,37.71
123, 45.0,258.0,41.0,7.57,52.43
124, 45.0,250.0,41.0,13.02,46.98
125, 45.0,300.0,40.0,7.88,52.12
126, 46.0,247.0,42.0,14.55,45.45
127, 47.0,305.0,42.0,7.29,52.71
128, 47.0,305.0,42.0,9.0,51.0
129, 47.0,345.0,43.0,4.9,55.1
130, 47.0,313.0,43.0,9.33,50.67
131, 47.0,394.0,43.0,0.27,59.73
132, 48.0,285.0,42.0,13.8,46.2
133, 47.0,327.0,43.0,6.07,53.93
134, 49.0,359.0,44.0,4.29,55.71
135, 46.0,352.0,43.0,5.72,54.28
136, 47.0,301.0,43.0,10.77,49.23
137, 46.0,184.0,42.0,20.91,39.09
138, 46.0,48.0,48.0,30.4,29.6
139, 47.0,44.0,52.0,26.0,34.0
140, 47.0,45.0,48.0,26.65,33.35
141, 46.0,48.0,45.0,26.8,33.2
142, 49.0,62.0,43.0,25.81,34.19
143, 46.0,95.0,42.0,22.58,37.42
144, 47.0,175.0,42.0,15.73,44.27
145, 46.0,108.0,42.0,24.7,35.3
146, 49.0,97.0,43.0,24.02,35.98
147, 47.0,62.0,43.0,26.93,33.07
148, 49.0,55.0,43.0,26.84,33.16
149, 50.0,60.0,43.0,26.17,33.83
150, 49.0,55.0,43.0,26.69,33.31
151, 47.0,56.0,43.0,26.27,33.73
152, 47.0,48.0,43.0,27.16,32.84
153, 45.0,49.0,43.0,26.62,33.38
154, 46.0,48.0,43.0,26.91,33.09
155, 48.0,45.0,44.0,26.65,33.35
156, 47.0,44.0,44.0,26.71,33.29
157, 44.0,44.0,48.0,26.61,33.39
